2015/2016,C.R.A. VERO-ALCANADRE,Adahuesca,22003,Adahuesca,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VERO-ALCANADRE,Azara,22041,Azara,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VERO-ALCANADRE,Bierge,22058,Bierge,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VERO-ALCANADRE,Pozán de Vero,22186,Pozán de Vero,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VERO-ALCANADRE,Salas Altas,22201,Salas Altas,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VICORT-ISUELA,Arándiga,50032,Arándiga,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VICORT-ISUELA,Codos,50086,Codos,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VICORT-ISUELA,Frasno (El),50110,Frasno (El),1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VICORT-ISUELA,Mesones de Isuela,50166,Mesones de Isuela,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VIOLADA MONEGROS,Gurrea de Gállego,22119,Gurrea de Gállego,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VIOLADA MONEGROS,Tardienta,22226,Tardienta,11,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. VIOLADA MONEGROS,Temple (El),22119,Gurrea de Gállego,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALBEOS,Albalate de Cinca,22007,Albalate de Cinca,9,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALBEOS,Belver de Cinca,22052,Belver de Cinca,12,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALBEOS,Osso de Cinca,22167,Osso de Cinca,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALGARS,Beceite,44037,Beceite,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALGARS,Cretas,44086,Cretas,6,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALGARS,Lledó,44141,Lledó,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALTA RIBAGORZA,Benasque,22054,Benasque,17,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALTA RIBAGORZA,Castejón de Sos,22084,Castejón de Sos,16,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALTA RIBAGORZA,Cerler,22054,Benasque,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALTA RIBAGORZA,Laspaúles,22143,Laspaúles,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A.ALTO MAESTRAZGO,Cantavieja,44059,Cantavieja,10,AM06101013,3 años,3 años,E. Infantil
